傲睨一世,昂首望天
高昂,昂扬
洼地,凹地
高低,凹凸
折磨,熬煎
锻炼,熬炼
飞翔,翱翔
高傲,傲岸
狂妄,傲慢
渺视,傲睨
傲世轻物,傲睨万物
傲睨万物,傲睨一世
傲睨万物,傲世轻物
睥睨,傲视
坚贞不屈,傲雪欺霜
骄兵必败,傲卒多败
骄兵必败,傲卒多降
秘密,奥秘
秘密,奥密
玄妙,奥妙
悔恨,懊悔
烦恼,懊恼
悔恨,懊丧
四行孤军,八百壮士
才高八斗,八斗之才
四面楚歌,八方受敌
天昏地暗,暗无天日
窃笑,暗笑
阴影,暗影
切口,暗语
黑暗,暗中
邋遢,肮脏
抬头,昂首
八棍子撂不着,八竿子打不着
陈腔滥调,八股
稀奇古怪,八怪七喇
八竿子打不着,八棍子撂不着
不相上下,八两半斤
五花八门,八门五花
八面玲珑,八面见光
八面见光,八面玲珑
四面楚歌,八面受敌
气势汹汹,八面威风
发草帖,八字帖
后记,跋文
促膝谈心,把臂而谈
痛处,把柄
操纵,把持
切脉,把脉
看管,把守
戏弄,把玩簸弄
当心,把稳
驾驭,把握
花招,把戏
歇工,罢工
而已,罢了
撤职,罢免
歇手,罢手
放手,罢休
蛮横,霸道
机谋,霸术
攻克,霸占
呆子,白痴
白费,白搭
鹤发,白发
皓首苍颜,白发苍颜
庞眉皓发,白发银须
白搭,白费
枉费心机,白费心血
口语,白话
光阴似箭,白驹过隙
石蜡,白腊
洋蜡,白蜡
白天,白日
白日升天,白日飞升
白日飞升,白日升天
空手,白手
自食其力,白手起家
老人,白叟
白昼,白天
白净,白皙
沧海桑田,白云苍狗
碧眼儿,白种人
白天,白昼
利剑,白
逢迎,巴结
渴望,巴望
翦绺,扒手
废除,拔除
起锚,拔锚
适得其反,拔苗助长
选取,拔取
扶植,拔擢
猖,跋扈
进退失据,跋前疐后
动辄得咎,跋前踬后
千般,百般
百发百中,百步穿杨
扶摇直上,百尺竿头
有口难言,百辞莫辩
矢无虚发,百发百中
民生凋敝,百孔千疮
合家,百口
寥寥无几,百里挑一
千了百当,百了千当
鸭蛋虽密也有缝,百密一疏
大惑不解,百思不解
童言无忌,百无禁忌
黎民,百姓
视为心腹,百依百顺
势如破竹,百战百胜
一往直前,百折不回
百折不回,百折不挠
左右,摆布
动摇,摆荡
搭架子,摆架子
排列,摆列
部署,摆设
开脱,摆脱
腐败,败北
松弛,败坏
倾家荡产,败尽家业
莠民,败类
败事,败露
败露,败事
没趣,败兴
劣行,败行
换帖兄弟,拜把兄弟
离别,拜别
造访,拜访
求神拜鬼,拜鬼求神
访问,拜候
参见,拜见
贺年,拜年
托付,拜托
访候,拜望
拜望,拜谒
纠缠不清,扳缠不清
攀谈,扳话
连累,扳连
交谈,扳谈
布鼓雷门,班门弄斧
凯旅,班师
盘游,般游
颁发,颁布
宣布,颁布发表
发表,颁发
花白,斑白
雀斑,斑点
美丽,斑斓
花纹,斑纹
搬家,搬场
挪动转移,搬动
搬迁,搬家
挑衅,搬弄
挑拨离间,搬弄是非
搬家,搬迁
木屋,板屋
呆滞,板滞
邦畿,版图
措施,办法
孔方兄,阿堵物
福寿膏,阿芙蓉
那个,阿谁
姨妈,阿姨
谄谀,阿谀
攀龙趋凤,阿谀奉承
攀龙趋凤,阿谀奉迎
愁肠寸断,哀肠百转
悲悼,哀悼
恳求,哀告
悲啼,哀号
灾民,哀鸿
百孔千疮,哀鸿遍野
悯恻,哀怜
恳求,哀求
悲悼,哀伤
悲痛,哀思
悲伤,哀痛
顺序,挨次
受饿,挨饿
靠拢,挨近
和蔼可亲,蔼然可亲
求贤若渴,爱才如命
求贤若渴,爱才若命
一毛不拔,爱财如命
尊崇,爱崇
恋慕,爱戴
喜好,爱好
敬服,爱护
珍惜,爱护保重
恋慕,爱慕
宠姬,爱妾
恋爱,爱情
己饥己溺,爱人如己
敬服,爱惜
居安思危,安不忘危
漫步,安步
缓步徐行,安步当车
布置,安插
顺产,安产
稳固,安定
布置,安顿
安顿,安放
循分,安分
安守故常,安分守己
循规蹈矩,安分守纪
抚慰,安抚
宁静,安好
克绍箕裘,安家立业
安定,安靖
平静,安静
平静,安静冷静僻静
安身立命,安居乐业
愉逸,安乐
安定,安谧
安息,安眠
安定,安宁
摆设,安排
宁静,安全
平安,安然
平和,安然平静
平安无事,安然无事
平安无事,安然无恙
固若金汤,安如盘石
固若金汤,安如泰山
十拿九稳,安若泰山
安置,安设
立足,安身
安居乐业,安身立命
宁静,安适
安分守己,安守故常
安乐,安泰
妥当,安妥
同甘共苦,安危与共
慰藉,安慰
牢固,安稳
歇息,安息
安逸,安闲
宁静,安详
平静,安祥
歇息,安歇
放心,安心
清闲,安逸
扎营,安营
自暴自弃,安于现状
何在,安在
埋葬,安葬
高枕无忧,安枕无忧
怎知,安知
布置,安置
安置,安装
循规蹈矩,按部就班
顺序,按次
照例,按例
推拿,按摩
抑制,按捺
定期,按期
定时,按时
刻舟求剑,按图索骥
顺次,按序
根据,按照
文案,案牍
档册,案卷
悄悄,暗暗
潜伏,暗藏
暗流,暗潮
昏暗,暗淡
惨淡,暗澹
冷战,暗斗
阴沟,暗沟
谋害,暗害
灯号,暗号
灯号,暗记
冷箭,暗箭
含沙射影,暗箭伤人
私下,暗里
暗潮,暗流
办妥,办好
管理,办理
服务,办事
办好,办妥
豆剖瓜分,半壁江山
旗鼓相当,半斤八两
片刻,半晌
对折,半数
中途,半途
功败垂成,半途而废
欲言又止,半吐半吞
不即不离,半推半就
将信将疑,半信半疑
子夜,半夜
东床,半子
伙计,伴计
朋友,伴侣
陪同,伴随
随同,伴同
饰演,扮演
化装,扮装
拌杂,拌合
拌合,拌杂
国脉,邦本
版图,邦畿
国家荣誉,邦家之光
国交,邦交
光顾,帮衬
帮助,帮忙
